city = آزادشهر,    product_id = 6125,  has_sold = 39,  total_money_earned = 1677000
city = ایجرود,    product_id = 5043,  has_sold = 38,  total_money_earned = 2242000
city = دلفان,    product_id = 9766,  has_sold = 40,  total_money_earned = 1480000
city = ساوه,    product_id = 4143,  has_sold = 40,  total_money_earned = 2280000
city = هریس,    product_id = 8919,  has_sold = 40,  total_money_earned = 1640000
city = رودبار,    product_id = 9930,  has_sold = 39,  total_money_earned = 1677000
city = علی‌آباد,    product_id = 1218,  has_sold = 40,  total_money_earned = 2240000
city = لنگرود,    product_id = 9812,  has_sold = 40,  total_money_earned = 1760000
city = سقز,    product_id = 1399,  has_sold = 36,  total_money_earned = 2160000
city = میاندوآب,    product_id = 906,  has_sold = 33,  total_money_earned = 1419000
city = گرگان,    product_id = 1473,  has_sold = 40,  total_money_earned = 1880000
city = بستان‌آباد,    product_id = 4306,  has_sold = 34,  total_money_earned = 1598000
city = گنبد کاووس,    product_id = 4699,  has_sold = 36,  total_money_earned = 1908000
city = لنجان,    product_id = 6828,  has_sold = 33,  total_money_earned = 1749000
city = بناب,    product_id = 3787,  has_sold = 36,  total_money_earned = 1620000
city = تویسرکان,    product_id = 2900,  has_sold = 19,  total_money_earned = 1007000
city = طوالش,    product_id = 6010,  has_sold = 39,  total_money_earned = 2223000
city = بندر گز,    product_id = 1507,  has_sold = 40,  total_money_earned = 2400000
city = شیروان,    product_id = 3499,  has_sold = 40,  total_money_earned = 1400000
city = بروجرد,    product_id = 1074,  has_sold = 34,  total_money_earned = 1972000
city = خاش,    product_id = 8310,  has_sold = 38,  total_money_earned = 1558000
city = رودان,    product_id = 2268,  has_sold = 37,  total_money_earned = 2109000
city = گرمسار,    product_id = 7532,  has_sold = 39,  total_money_earned = 1989000
city = دشتستان,    product_id = 9489,  has_sold = 40,  total_money_earned = 1520000
city = سراب,    product_id = 2527,  has_sold = 36,  total_money_earned = 1296000
city = فریدن,    product_id = 792,  has_sold = 34,  total_money_earned = 1768000
city = میانه,    product_id = 9322,  has_sold = 40,  total_money_earned = 1600000
city = الیگودرز,    product_id = 7502,  has_sold = 38,  total_money_earned = 1596000
city = شوشتر,    product_id = 9666,  has_sold = 38,  total_money_earned = 1520000
city = سمیرم,    product_id = 8371,  has_sold = 44,  total_money_earned = 2347972
city = لردگان,    product_id = 7992,  has_sold = 39,  total_money_earned = 2028000
city = اسدآباد,    product_id = 7731,  has_sold = 40,  total_money_earned = 1480000
city = هشترود,    product_id = 1303,  has_sold = 40,  total_money_earned = 1520000
city = کاشمر,    product_id = 906,  has_sold = 40,  total_money_earned = 1560000
city = شهرضا,    product_id = 9750,  has_sold = 38,  total_money_earned = 2166000
city = همدان,    product_id = 9580,  has_sold = 39,  total_money_earned = 1755000
city = دشت آزادگان,    product_id = 8281,  has_sold = 40,  total_money_earned = 1880000
city = ایذه,    product_id = 9823,  has_sold = 40,  total_money_earned = 2160000
city = شهرستان خمیر,    product_id = 8214,  has_sold = 39,  total_money_earned = 1521000
city = صدوق,    product_id = 8295,  has_sold = 42,  total_money_earned = 3093972
city = دهلران,    product_id = 4124,  has_sold = 40,  total_money_earned = 1920000
city = بهار,    product_id = 6304,  has_sold = 40,  total_money_earned = 1640000
city = مهریز,    product_id = 2625,  has_sold = 40,  total_money_earned = 2280000
city = قم,    product_id = 8605,  has_sold = 39,  total_money_earned = 1677000
city = مرودشت,    product_id = 314,  has_sold = 40,  total_money_earned = 2120000
city = سروآباد,    product_id = 6268,  has_sold = 40,  total_money_earned = 2240000
city = تهران,    product_id = 6335,  has_sold = 20,  total_money_earned = 860000
city = آباده,    product_id = 9916,  has_sold = 38,  total_money_earned = 2242000
city = تیران و کرون,    product_id = 7636,  has_sold = 40,  total_money_earned = 1880000
city = پارس‌آباد,    product_id = 3459,  has_sold = 39,  total_money_earned = 1443000
city = چاراویماق,    product_id = 8564,  has_sold = 38,  total_money_earned = 1900000
city = دشتی,    product_id = 2213,  has_sold = 39,  total_money_earned = 1872000
city = رامشیر,    product_id = 926,  has_sold = 35,  total_money_earned = 2030000
city = مهر,    product_id = 1039,  has_sold = 36,  total_money_earned = 2052000
city = دره‌شهر,    product_id = 2579,  has_sold = 17,  total_money_earned = 918000
city = خرمدره,    product_id = 7778,  has_sold = 35,  total_money_earned = 1540000
city = کوهبنان,    product_id = 3741,  has_sold = 37,  total_money_earned = 1813000
city = فلاورجان,    product_id = 1535,  has_sold = 40,  total_money_earned = 2400000
city = کوثر,    product_id = 1991,  has_sold = 39,  total_money_earned = 1521000
city = کوهرنگ,    product_id = 8432,  has_sold = 28,  total_money_earned = 980000
city = اسلام‌آباد غرب,    product_id = 9094,  has_sold = 38,  total_money_earned = 2052000
city = سرایان,    product_id = 152,  has_sold = 33,  total_money_earned = 1617000
city = ری,    product_id = 5787,  has_sold = 40,  total_money_earned = 2000000
city = بانه,    product_id = 4868,  has_sold = 25,  total_money_earned = 1200000
city = ابهر,    product_id = 7077,  has_sold = 39,  total_money_earned = 2145000
city = نیشابور,    product_id = 7777,  has_sold = 39,  total_money_earned = 1560000
city = رامسر,    product_id = 9390,  has_sold = 26,  total_money_earned = 1040000
city = ورزقان,    product_id = 7528,  has_sold = 39,  total_money_earned = 2340000
city = ملکان,    product_id = 9634,  has_sold = 39,  total_money_earned = 1560000
city = چادگان,    product_id = 8499,  has_sold = 36,  total_money_earned = 1404000
city = گتوند,    product_id = 6828,  has_sold = 39,  total_money_earned = 1560000
city = فریدون‌شهر,    product_id = 6987,  has_sold = 40,  total_money_earned = 1920000
city = بوئین‌زهرا,    product_id = 8427,  has_sold = 37,  total_money_earned = 2183000
city = سمیرم سفلی,    product_id = 5537,  has_sold = 39,  total_money_earned = 1599000
city = یزد,    product_id = 506,  has_sold = 40,  total_money_earned = 1720000
city = زرندیه,    product_id = 9702,  has_sold = 38,  total_money_earned = 1634000
city = اسلام‌شهر,    product_id = 1450,  has_sold = 37,  total_money_earned = 1739000
city = راور,    product_id = 1689,  has_sold = 28,  total_money_earned = 1372000
city = پاوه,    product_id = 9048,  has_sold = 39,  total_money_earned = 1638000
city = بستک,    product_id = 7909,  has_sold = 38,  total_money_earned = 1824000
city = بردسکن,    product_id = 7305,  has_sold = 38,  total_money_earned = 1862000
city = خواف,    product_id = 7106,  has_sold = 39,  total_money_earned = 2106000
city = عنبرآباد,    product_id = 4351,  has_sold = 39,  total_money_earned = 1638000
city = مراوه‌تپه,    product_id = 4883,  has_sold = 38,  total_money_earned = 1444000
city = لالی,    product_id = 6783,  has_sold = 29,  total_money_earned = 1392000
city = مشگین‌شهر,    product_id = 6879,  has_sold = 39,  total_money_earned = 1716000
city = اهواز,    product_id = 1801,  has_sold = 38,  total_money_earned = 1558000
city = مشهد,    product_id = 8150,  has_sold = 38,  total_money_earned = 2166000
city = قصر شیرین,    product_id = 752,  has_sold = 34,  total_money_earned = 1258000
city = جاجرم,    product_id = 1525,  has_sold = 38,  total_money_earned = 1786000
city = جوانرود,    product_id = 3290,  has_sold = 40,  total_money_earned = 2360000
city = قائنات,    product_id = 203,  has_sold = 40,  total_money_earned = 2280000
city = نور,    product_id = 9751,  has_sold = 38,  total_money_earned = 2242000
city = سپیدان,    product_id = 8362,  has_sold = 36,  total_money_earned = 1584000
city = مسجد سلیمان,    product_id = 8201,  has_sold = 39,  total_money_earned = 1950000
city = شفت,    product_id = 4057,  has_sold = 54,  total_money_earned = 3757968
city = اسفراین,    product_id = 1723,  has_sold = 38,  total_money_earned = 1748000
city = بروجن,    product_id = 3175,  has_sold = 38,  total_money_earned = 1596000
city = تفرش,    product_id = 9108,  has_sold = 29,  total_money_earned = 1247000
city = رفسنجان,    product_id = 8805,  has_sold = 37,  total_money_earned = 1776000
city = آستانه اشرفیه,    product_id = 3171,  has_sold = 39,  total_money_earned = 1599000
city = رامهرمز,    product_id = 7464,  has_sold = 40,  total_money_earned = 2280000
city = کلیبر,    product_id = 9948,  has_sold = 40,  total_money_earned = 2080000
city = کبودرآهنگ,    product_id = 5502,  has_sold = 40,  total_money_earned = 1960000
city = ممسنی,    product_id = 3139,  has_sold = 16,  total_money_earned = 736000
city = آشتیان,    product_id = 6698,  has_sold = 38,  total_money_earned = 1976000
city = آستارا,    product_id = 7924,  has_sold = 40,  total_money_earned = 2280000
city = بندر لنگه,    product_id = 9361,  has_sold = 40,  total_money_earned = 2000000
city = بیجار,    product_id = 9608,  has_sold = 40,  total_money_earned = 1440000
city = نیک‌شهر,    product_id = 6138,  has_sold = 40,  total_money_earned = 2200000
city = مریوان,    product_id = 9386,  has_sold = 40,  total_money_earned = 2280000
city = گاوبندی,    product_id = 550,  has_sold = 39,  total_money_earned = 1716000
city = دالاهو,    product_id = 7208,  has_sold = 40,  total_money_earned = 2000000
city = ملایر,    product_id = 947,  has_sold = 39,  total_money_earned = 2223000
city = چالوس,    product_id = 5609,  has_sold = 40,  total_money_earned = 2000000
city = برخوار و میمه,    product_id = 4838,  has_sold = 40,  total_money_earned = 1480000
city = شازند,    product_id = 6310,  has_sold = 40,  total_money_earned = 1840000
city = خرم‌آباد,    product_id = 1176,  has_sold = 40,  total_money_earned = 1960000
city = تکاب,    product_id = 7239,  has_sold = 39,  total_money_earned = 1755000
city = رامیان,    product_id = 5190,  has_sold = 40,  total_money_earned = 1640000
city = کرمان,    product_id = 4244,  has_sold = 40,  total_money_earned = 1880000
city = ابوموسی,    product_id = 2065,  has_sold = 37,  total_money_earned = 1443000
city = ازنا,    product_id = 4510,  has_sold = 37,  total_money_earned = 1924000
city = چابهار,    product_id = 7223,  has_sold = 40,  total_money_earned = 1920000
city = بجنورد,    product_id = 5172,  has_sold = 37,  total_money_earned = 1554000
city = نوشهر,    product_id = 141,  has_sold = 40,  total_money_earned = 1840000
city = بیرجند,    product_id = 8740,  has_sold = 38,  total_money_earned = 1672000
city = قوچان,    product_id = 5019,  has_sold = 38,  total_money_earned = 2090000
city = کلاله,    product_id = 308,  has_sold = 35,  total_money_earned = 1470000
city = البرز,    product_id = 5289,  has_sold = 38,  total_money_earned = 1672000
city = کازرون,    product_id = 2262,  has_sold = 40,  total_money_earned = 1800000
city = ماسال,    product_id = 1615,  has_sold = 39,  total_money_earned = 1911000
city = پاسارگاد,    product_id = 2199,  has_sold = 40,  total_money_earned = 2200000
city = فیروزکوه,    product_id = 5918,  has_sold = 40,  total_money_earned = 2240000
city = اقلید,    product_id = 7512,  has_sold = 40,  total_money_earned = 1800000
city = استهبان,    product_id = 7982,  has_sold = 35,  total_money_earned = 1435000
city = شیروان و چرداول,    product_id = 8502,  has_sold = 38,  total_money_earned = 2280000
city = عجب‌شیر,    product_id = 8619,  has_sold = 40,  total_money_earned = 1880000
city = شهر بابک,    product_id = 79,  has_sold = 40,  total_money_earned = 1760000
city = اَملَش,    product_id = 7549,  has_sold = 25,  total_money_earned = 875000
city = دورود,    product_id = 2887,  has_sold = 34,  total_money_earned = 1224000
city = خرم‌بید,    product_id = 5789,  has_sold = 40,  total_money_earned = 2240000
city = فردوس,    product_id = 3978,  has_sold = 40,  total_money_earned = 1680000
city = خرمشهر,    product_id = 3028,  has_sold = 37,  total_money_earned = 2183000
city = نهبندان,    product_id = 7243,  has_sold = 34,  total_money_earned = 1632000
city = بوکان,    product_id = 3877,  has_sold = 40,  total_money_earned = 1920000
city = رودبار جنوب,    product_id = 3565,  has_sold = 39,  total_money_earned = 1677000
city = قائم‌شهر,    product_id = 5742,  has_sold = 39,  total_money_earned = 1482000
city = بهمئی,    product_id = 6737,  has_sold = 38,  total_money_earned = 1558000
city = پیرانشهر,    product_id = 823,  has_sold = 38,  total_money_earned = 1900000
city = سردشت,    product_id = 7273,  has_sold = 39,  total_money_earned = 1716000
city = زاهدان,    product_id = 8134,  has_sold = 40,  total_money_earned = 2040000
city = منوجان,    product_id = 138,  has_sold = 37,  total_money_earned = 1332000
city = جیرفت,    product_id = 5536,  has_sold = 40,  total_money_earned = 1480000
city = سراوان,    product_id = 7821,  has_sold = 38,  total_money_earned = 1634000
city = چالدران,    product_id = 8410,  has_sold = 40,  total_money_earned = 1520000
city = کردکوی,    product_id = 3724,  has_sold = 29,  total_money_earned = 1363000
city = پاکدشت,    product_id = 3230,  has_sold = 36,  total_money_earned = 1548000
city = میناب,    product_id = 2078,  has_sold = 38,  total_money_earned = 1976000
city = بردسیر,    product_id = 2140,  has_sold = 32,  total_money_earned = 1568000
city = شهریار,    product_id = 3016,  has_sold = 39,  total_money_earned = 1365000
city = فارسان,    product_id = 9812,  has_sold = 40,  total_money_earned = 2320000
city = نیر,    product_id = 9838,  has_sold = 39,  total_money_earned = 1560000
city = آبیک,    product_id = 4955,  has_sold = 40,  total_money_earned = 1720000
city = آران و بیدگل,    product_id = 9206,  has_sold = 37,  total_money_earned = 1665000
city = اردبیل,    product_id = 4651,  has_sold = 40,  total_money_earned = 1640000
city = لاهیجان,    product_id = 5271,  has_sold = 40,  total_money_earned = 1480000
city = پل‌دختر,    product_id = 6527,  has_sold = 35,  total_money_earned = 1470000
city = خنج,    product_id = 7333,  has_sold = 40,  total_money_earned = 2240000
city = دزفول,    product_id = 7927,  has_sold = 35,  total_money_earned = 1295000
city = بندر انزلی,    product_id = 7466,  has_sold = 40,  total_money_earned = 2360000
